hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
1402;20.4050;0.0293;1.032;6673;1.738;5.075;;
1403;4.5997;0.0234;0.962;4954;8.892;50.941;;
1415;0.7546;0.0579;1.049;;;;;
1417;1.0152;0.0176;0.881;4380;;;;
1419;12.4934;0.0170;0.978;5421;2.333;4.995;;
1421;8.8131;0.0279;1.042;4933;8.761;45.741;0.754;1
1425;6.8083;0.0163;0.965;5994;;;;
1427;21.2445;0.0303;1.015;6456;1.294;2.374;;
1428;2.4662;0.0290;0.934;8147;3.177;465.329;;
1429;1.6906;0.0345;0.937;4250;;;;
1434;5.0352;0.0188;1.006;4726;9.963;55.016;;
1435;5.0211;0.0334;0.931;;3.584;31.652;;
1439;6.7384;0.0281;0.972;4916;10.082;59.298;;
1444;37.1417;0.0255;1.010;5967;1.213;1.516;;
1445;2.4380;0.0199;1.075;4196;;;;
1455;13.5624;0.0250;0.963;;1.620;5.877;;
1456;4.4906;0.0202;0.890;4304;;;;
1461;;;;;;;;
1464;;;;;;;;
1465;8.5557;0.0355;0.896;4740;10.624;57.468;;
1466;0.3781;0.0207;1.025;;;;;
1470;3.4975;0.0224;0.947;4319;21.747;198.735;;
1473;23.2542;0.1809;1.971;;;;;
1474;1.8313;0.0197;1.087;3864;;;;
1477;7.4054;0.0252;1.017;4425;9.492;43.720;;
1478;7.6300;0.0327;1.046;;;;;
1480;7.7731;0.0271;0.849;6339;2.530;8.932;;
1481;23.3555;0.0164;0.994;6118;1.146;1.576;;
1484;3.5553;0.0277;0.962;;3.181;175.419;;
1486;3.1682;0.0181;0.924;3985;;;;
1488;6.7218;0.0293;0.823;;1.821;30.793;;
1492;2.4574;0.0219;0.891;4273;;;;
1493;6.6475;0.0818;1.275;;;;;
1495;8.5137;0.0225;0.889;5014;5.759;23.483;;
1499;42.7308;0.0299;0.830;5777;1.149;1.204;0.502;1
1501;5.3927;0.0421;0.880;;3.258;197.182;;
1502;7.3296;0.0269;1.219;4384;13.598;87.970;;
1519;3.8233;0.0194;0.968;4906;;;;
1521;5.4748;0.0528;2.399;6858;3.219;24.455;;
1524;6.5240;0.0267;0.964;;;;;
1526;0.3642;0.0179;1.016;7199;;;;
1543;6.6574;0.0207;0.961;;;;;
1545;10.6486;0.0272;0.990;6752;1.663;4.996;;
1549;3.9043;0.0146;0.970;4814;;;;
1550;4.1720;0.0206;0.826;;3.977;58.353;;
1551;2.4163;0.0215;1.115;3768;;;;
1553;4.8356;0.0225;0.954;5005;8.064;43.109;;
1559;4.0295;0.0200;0.879;4344;;;;
1560;5.2392;0.0183;0.982;4665;;;;
1562;11.6996;0.1968;2.854;;;;3.310;1
1565;11.8411;0.0267;0.948;5215;;;;
1570;1.5560;0.0199;0.935;3942;55.962;1080.382;;
1571;1.6282;0.0171;1.061;3781;;;;
1575;6.0600;0.0300;1.056;4379;;;;
1579;4.3169;0.0216;0.959;4355;;;;
1582;17.1688;0.0202;1.089;6250;1.225;1.805;;
1587;8.7507;0.0264;1.026;5100;5.685;25.543;;
1592;0.9142;0.0173;0.982;4223;;;;
1593;1.5764;0.0256;0.930;;;;6.750;1
1595;6.4423;0.0275;1.203;4869;10.830;59.176;;
1596;5.2296;0.0226;0.990;4868;7.950;35.426;;
1597;7.1308;0.0236;1.083;4533;;;;
